Episode =    1, score= 55.084 (best= 55.084, step=37, avg_reward=  1.489, worst=  1.730,  z-Pos=11.353032794193092, z-Vel=3.110647413244855, z-target=10.0)
Episode =    2, score= 50.513 (best= 55.084, step=47, avg_reward=  1.075, worst=  0.592,  z-Pos=11.380309540848467, z-Vel=3.658023167340179, z-target=10.0)
Episode =    3, score= 52.550 (best= 55.084, step=44, avg_reward=  1.194, worst=  0.592,  z-Pos=11.332573601605912, z-Vel=3.4425393994210123, z-target=10.0)
Episode =    4, score= 51.385 (best= 55.084, step=36, avg_reward=  1.427, worst=  0.592,  z-Pos=11.370660933719723, z-Vel=2.864065971308874, z-target=10.0)
Episode =    5, score= 51.242 (best= 55.084, step=46, avg_reward=  1.114, worst=  0.592,  z-Pos=11.356654532100983, z-Vel=3.6082753434514454, z-target=10.0)
Episode =    6, score= 49.322 (best= 55.084, step=34, avg_reward=  1.451, worst=  0.592,  z-Pos=11.324531899627127, z-Vel=2.9147308048255973, z-target=10.0)
Episode =    7, score= 36.925 (best= 55.084, step=29, avg_reward=  1.273, worst=  0.592,  z-Pos=11.330603981390542, z-Vel=2.1361736442615147, z-target=10.0)
Episode =    8, score= 53.452 (best= 55.084, step=37, avg_reward=  1.445, worst=  0.592,  z-Pos=11.324504213623454, z-Vel=2.7846826183983744, z-target=10.0)
Episode =    9, score= 55.867 (best= 55.867, step=45, avg_reward=  1.241, worst=  0.592,  z-Pos=11.371140027900351, z-Vel=3.3609843709011744, z-target=10.0)
Episode =   10, score= 48.150 (best= 55.867, step=34, avg_reward=  1.416, worst=  0.592,  z-Pos=11.32241378257606, z-Vel=2.7168957045347377, z-target=10.0)
Episode =   11, score= 51.777 (best= 55.867, step=36, avg_reward=  1.438, worst=  0.592,  z-Pos=11.353095700857084, z-Vel=2.867267505437505, z-target=10.0)
Episode =   12, score= 40.565 (best= 55.867, step=30, avg_reward=  1.352, worst=  0.592,  z-Pos=11.323094227006893, z-Vel=2.503703747939053, z-target=10.0)
Episode =   13, score= 51.866 (best= 55.867, step=45, avg_reward=  1.153, worst=  0.592,  z-Pos=11.35595360573506, z-Vel=3.525250548550766, z-target=10.0)
Episode =   14, score= 52.430 (best= 55.867, step=47, avg_reward=  1.116, worst=  0.592,  z-Pos=11.327231007611099, z-Vel=3.50016422798333, z-target=10.0)
Episode =   15, score= 50.534 (best= 55.867, step=45, avg_reward=  1.123, worst=  0.592,  z-Pos=11.373129160575052, z-Vel=3.6055558803522416, z-target=10.0)
Episode =   16, score= 60.640 (best= 60.640, step=40, avg_reward=  1.516, worst=  0.592,  z-Pos=11.334719812307116, z-Vel=3.1070684384402223, z-target=10.0)
Episode =   17, score= 59.141 (best= 60.640, step=39, avg_reward=  1.516, worst=  0.592,  z-Pos=11.326717525862916, z-Vel=3.1184517238967704, z-target=10.0)
Episode =   18, score= 48.905 (best= 60.640, step=42, avg_reward=  1.164, worst=  0.592,  z-Pos=11.354655293699366, z-Vel=3.5508905364656798, z-target=10.0)
